ID	TEXT	LABEL
000001	Mình đã dùng anywhere thế hệ đầu, quả là đầy thất vọng, hiện tại đang vứt xó. Giá thì đắt, ngốn pin như ăn gỏi, nặng	2
000002	Quan tâm nhất là độ trễ có cao không, dùng thi thoảng nó cứ trễ bực mình, đấy mới chỉ là dùng văn phòng chứ game thì chắc là ném đi từ lâu. Không biết con này có độ trễ không nhỉ. Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi, gọn bấm nảy tốt	2
000003	dag xài con cùi bắp 98k....pin trâu, mỗi tội đánh liên minh ức chế đập hết 2 con	2
000004	logitech chắc hàng phải tiền triệu trở lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư. chuyển sang eblue dùng được hơn năm chưa thấy hỏng.	2
000005	Đang xài con m175 cùi mía , nhà xài nhiều chuột nên thử con này con kia chơi và kết quả là sau 3 tháng và 4 con chuột khác nhau đủ kiểu đa chức năng mà h chỉ còn lại là con m175 cùi mía còn xài dc :3 h đi mua chuột là xác định ko để mấy con nhân viên vấy ngắn nó dụ nửa cứ logitech mà fan	2
000006	Đang xài 2 con M185, nút chuột giữa hai con đều như hạch. xài chưa được năm , scroll đã chạy bậy rồi. Hay mua phải đồ đểu hỉ?	2
000007	Con Anywhere 1 mình dùng bị double click cũng 3 lần rồi... chán lắm	2
000008	Hàng cty cấp, cấp xong vứt ở nhà, xài con Xornet cho đỡ mỏi tay. Cơ mà vẫn thắc mắc là dong thấp nhất, nhưng éo bằng con misumi giá bằng 1/3.	2
000009	Magic mouse mà ngon hơn mới lạ, Magic mouse chỉ được cái đẹp, pin thì ăn 2 tuần hết, ko di trên mọi bề mặt được bạn nhé, bảo hành thì hãng bảo hành 1 năm, còn Logitech thì năm nhé ## chuột này em đang dùng, chuột magic mouse bỏ tủ	2
000010	em giống y bác luôn, chán bluetooth kinh hồn, 1tr7 mà em không tưởng tượng được độ chuối của bluetooth	2
001701	Chuột ngon nhưng ghét mỗi tội là mấy miếng đệm quá kém !	1
001702	Dễ thất lạc Bluetooth Dongles.? là cái nào b?	1
001703	Mình thì không tài nào xài con Magic Mouse được, chả ra làm sao cả. Mình đang xài con Logitech M325 cả năm nay đi chung với iMac ngon choét	1
001704	Theo như hình thì có thể tháo tấm thép trên nắp chuột nhằm giảm trọng lượng cho nó. Các chuột cao cấp đều có thêm miếng thép để điều chỉnh trọng lượng chuột cho phù hợp với nhiều người dùng khác nhau.	1
001705	chuột bluetooth toàn tiền triệu hông vậy nè	1
001706	cũng có con bluetooth của logitech. Nặng quá khó chịu nên mổ nó ra dụt luôn cái miếng thép như con này, cầm và vác đi vác lại khoái hơn hẳn ...tiếc là cho bà xã rồi. Thích scroll của logitech, dùng cảm biến quang không bao giờ bị hư nút cuộn như những con khác.	1
001707	Đang dùng G500 và Anywhere 2 trong bài này. G500 thì bị lỗi double click nhưng BH 3 năm nên cũng đỡ. Anywhere 2 thì Logitech nói là đã cải tiến cái nút, hy vọng là ko bị nữa.	1
001708	Nhà nghèo chỉ có thế	1
001709	em dùng chuột rất phá. Toi đời cỡ 5-6 con Logitech òi, toàn hỏng phím chuột trái. Từ hồi chuyển dùng Steelseries thấy có vẻ vòng đời sản phẩm lâu hơn, bền vãi.	1
001710	quá đẹp nhưng em ko có $	1
003401	Đang xài MX1. Dùng bình thường ngon, pin trâu. Mỗi tội 2-3 thằng cùng dùng mà ngồi một chỗ thì cà giựt cà tang. Chắc bị lẫn vào nhau.	0
003402	Qủa pin ngon, sạc lại được, bền. Riêng em dùng Pin AA, AAA dễ thay thế, thích hơn	0
003403	cũng đang xài 1 con logitech bluetooth tầm thấp M185 xài đc gần 3 năm mà vẫn còn ngon chán	0
003404	Logitech pin trâu thôi rồi, mua 1 con B175 cùi mà cục pin theo chuột 3 năm chưa phải thay! ai chê thì chê chứ tôi thấy chuột Logitech xài hơi bị thích !	0
003405	Em có con chuột không dây 150k cũng đầy đủ nút bấm dùng 2 năm rồi, hết pin là thay thôi	0
003406	Đúng vậy, con V470 Bluetooth cũng trâu không kém cạnh. Bên cạnh đó bấm chuột logitech rồi thì phải xài nó hoặc hãng cao hơn thôi. Genius, Mitsumi, Dell chắc chưa đến tuổi...	0
003407	Mình đang sài con này dùng cực thích.	0
003408	dùng 510 thích lắm, ko thì con mx anywhere là ổn	0
003409	mới làm con Dragon War G9 Thor , xài ngon nhưng build chưa cao cấp lắm, đóng gói còn thô sơ, thương hiệu nhật làm tại TQ mà sao hơi bèo. đúng với giá gần 300k. Build ngon xíu nữa bán 600k mọi ng đổ xô nhau đi mua cho coi. Ý là đang nói con chuột G9 của mình đấy haha	0
003410	Em được người thân cho con chuột lazer Logitech xài 5 năm rùi chưa hư mà ko rõ hiệu gì. Search trên mạng thì hình giống con M505 nhưng mà cục gắn vào máy tính thì của em nó bự hơn y như USB vậy. Và dùng pin tiểu AAA chứ ko phải AA như mấy trang Viet Nam hay rao.	0
